from_address,sum
0x68eBE977144fC958286e69280EE8449301f6BFFC,434.1290000000001
0x4021Bf461e695cAf4C416AfBB100103a602955cF,173.888
0x28C01B64F2492D82fd58FEECF8c71603c769BB4A,168.02900000000002
0xA002d299b6D01061a13e8B38cc3Bc7ac4946EEf8,94.64599999999999
0x1914717974224765B85636159d48F46DbbdBdE27,55.840999999999994
0xAA40DADD5b5488bf312Ef50e58F08c47B935c316,37.38
0xe4f683b80e8E141313dd5F2D0066F66e454A57BF,35.873
0x65C6b74cB057F2dB2bDdeb65F3B7Ed23a7fa0527,29.059
0xE9786097E74bD084333996Be509df9197d4bffBB,23.872
0x13b3fF6f1d996eAf36022eA2a92669e1371E46d7,21.535
0x0e893d9769c3210C73843230dd250eecBC8fA302,21.308999999999997
0x1e56Bff5Ea6643985008521650Df481132aAD5Ad,17.478
0xfE0b65C3acD3bDf1ecaB242AC857F73424C55D58,17.467
0x39A9ebc72FA4DC271B308fCbF1C1B185D5d9586A,17.22
0xCaB6C01601302051C8A10AA05FE97FF2E895BbB3,15.010999999999997
0x68292357E9b0B35E08861CcDb53290BDB92999C5,12.914
0x893A83F5521001559883CB9682B15439C023E54f,12.309000000000001
0x786AB9C2eA85eB6cA367d1258016919aA49B1359,10.469000000000001
0xAdA4E6d3a1358D05Bd5630f44d9958dd81aC888e,9.576
0xa681d0EF9E53648105d70698bF4DFdECB3607d8F,9.382000000000001
0x74c9Cc52748C079290fC53Bb131dD5F1D415e0f6,9.375000000000002
0xA39d4Ce10e6B586Fe58374C063CA4c777F1a7B7B,9.257
0x6A9065271055E710116209C8032D2e18e42535A7,9.099
0x1466F5596c439142B6f39723eEd27c117A97f8ED,8.684
0xBB5d6530409FcD0A3526E4C73DC8966c73ff2ACF,8.53
0x8A3f6961F4894e41E37a27A4d9A2d3B73faC0CF5,7.922000000000001
0x41474e6ED6f2Bc2256809ecaa1A22a95c77A15e2,7.4830000000000005
0xcB726F13479963934E91b6F34b6E87eC69c21bB9,6.459
0xceC771B3AB9204c4EB0B731111658e7C8bA539cF,6.13
0x50b130fd0d5cf546051541979734e5e0aEbf58C0,6.095
0xEd0D668DB0C1152353b502Ac617E77b501DDB434,6.057
0x98ecb04542Fd22e1c8a7E7575895710F0C3CFb7F,5.89
0x5E41F23FA26d448BbF957392Efc9AB0EeCe73b30,5.828
0x2E20Df63F5FfB0578cf4ccC223cb3003A50200b1,5.807
0xbdbc9751D73f29CFDDB285EBa08FfDB7B3395dfE,5.7
0xdfBaeeF21396BF205D4B7D23345155489072Cf9B,4.994
0x298E013544c56aa8CD0CA7770b8680FA3BbE0D64,4.513999999999999
0xA3268eDfd84415472D9c30eCdEBa487f865Ee063,4.492000000000001
0x3C37453bbc4478cddc0AEB764f436d2987744687,4.119
0xe1F7E15F3baFE9e2b999bA0758a5238De25113C0,4.055
0x99329a9d73f7136EE28E344Bd85132eeAfae3FDC,3.996
0x49F63B254EA9043E57678C13E06Aef257fab45C1,3.88
0xBF2FDd39f867B1cFe7336C1468F5bb557a6A8fa4,3.877
0xA3deB012Dca06b12a7e9AE06738fCCB4D39a6324,3.8459999999999996
0x1df0Cde978d7f094797A37A6e10757a7B997Ba91,3.731
0x133B2f8476af944c434454695313082215d5c4b3,3.697
0xF8007F2169A781B9122973C88800c6D41BAB1E7B,3.6700000000000004
0xC90EB1063b68eC8D87e45C2C4532b6D13E565c56,3.6620000000000004
0xF9a0E4fFCDcA164e2AbD89C07e22Ee1024f62704,3.6229999999999998
0x8c57D1Fab10D4B78F49ef5C6ABaEB76a63710f61,3.499
0x0F37f7685C5E32463f9D96eB28117CA34BF1005f,3.436
0xF69c4bD64799e7e21829F15BE99AdEe089a8D1C9,3.1229999999999998
0x5280537847c00723a2E710349390bFF199661Cd3,2.994
0x9c57247136f873E7fE0120cbaE911458c57ce224,2.971
0x80622c49403af3fd4CBD80c0bb508b12167fB193,2.967
0x10f7E1990564Ad12F897C3De93b163B38A37bD52,2.6180000000000003
0xF434e62BB100F681DfFafDaAbD1E8eB25053F887,2.531
0x11Bf6CADea898415C515608B58D337941FAab6AC,2.468
0x1a1CAa3F2C66B53aa049aF40B83cf1129CCe0626,2.3680000000000003
0xa9BCE9CF109c8E5E4066ED6484972CEE041572EA,2.3120000000000003
0x7Baae4eab0e08eBb47F0B39acd77e390d4F321cF,2.311
0x7eef6f6aFfb8d30dBfC332e9f3065B27aE80D5e1,2.174
0x553222B267bC978ACa3C28493AEf72d924b264BD,2.043
0x52868Abb30CE6A3a4D15fDe9F82641D27B14cA07,2.039
0xA40F2c85F814827D9bC01D6E2e6328832991076e,1.978
0xcfAAD31AF9CA53f17BeFbfFDDE62F99a3C04e561,1.942
0xc00BdaFae2DdFCA38C87b77c567d5F1891AA35fC,1.937
0x47400da4c778655E7E8b4c72557289321Dff098d,1.912
0xCBdF240Fd07feA726fD2B1693DB3F97566F6252e,1.898
0xd940fb3034Ac3e7f2a942b1A2abb77347fe9b59B,1.8920000000000001
0x4A24fd841E74C28309BCa5730B40679e18C5FcA0,1.873
0x456DA0a1CBA79C3Cb64E4A9F3Ffc5d1a09290e1e,1.853
0xE097C9d9af8689AA9Df75401735e5ac487D6dfa5,1.839
0x9882954D15f500Ea7A63A33479CBE0132B584Eb0,1.7670000000000001
0xCaE4CcfE670F8C2a4999f9dfaF44625110fce9E5,1.71
0x87b675E9219A3B870DF51449268B8c8C2241bF0c,1.549
0x96F05685617D12aDcd79fe087Fd6D0B263c16261,1.535
0xA9deEDBa572029155090DE0eea714c14015c2043,1.532
0x1efb3038DE631CfcE0C0A231952c6B90d5D9cFE5,1.519
0xD01588528B7Ec43CF8d197f82d214fB65c05F250,1.507
0x49d1978DCe1a788A0e33Ac59C004e5fEe4093e95,1.48
0x0421455364dEBc21846A2E75e438B6251b201b96,1.4709999999999999
0x3E7D5EF4C7f4593f1F726C75b1b089520A82edd8,1.431
0xca9A88758651Fb914AdF5F4AfA90C9Bb462c3183,1.419
0x2c57EF47F10bC3Ce20C4E0E7fff193BE3a038dE9,1.418
0xEc6E507B2449E9f4AB6Fa9695541d1Cc8Cb852b1,1.3539999999999999
0xb8c511dC5d5aB1Fc51Fa7a4b521f0F3DA0746c28,1.336
0x0Fea478e2B87820662c3b564B517c69483E64da8,1.321
0x6947fdba6Ee593539C5979d3DC67bee0F178c5fE,1.303
0xf36EA623Bb14015021Ef43e5Db58476639f951E5,1.2610000000000001
0x7dAA8Dd52Ee1BfbF420cE740Fc6e66665dfbdc1B,1.23
0x24a30823bd87E785B0c4B3803a2bffD91eb6876F,1.2080000000000002
0x35eF983C0D040E2DeAeFCe5245F7193e01A8AaA8,1.206
0x5c74d0E217c223cd7e89bFE51433f1bFB82Cb335,1.181
0xA1b99875425d038bfF22571a29D5e791C8a9716A,1.165
0x5f72A70d0C8Ca5E86A55802D50aAe09b97408EF2,1.162
0x15E424aA85Ba411277ee9d7f868ffFC95064c2CA,1.153
0xAE6587b6cA378cC9764ee57653D054b193A11e54,1.152
0x92B886d05c30677F1F596F35e8099B79fdd670Db,1.137
0x639e43F5b44B3c1e8C841cB28D942437337c5C89,1.13
0x58a88fc73d976959AAa5D9981d24F4fDa4733849,1.101
0x5535C48511FaA34bC3666f385b9B3aB93a65f845,1.099
0x8Ea62d5b6Ae7C4C1f15a33a852881b272674cFB2,1.092
0x1e3d49b0928827828f8fBc8CC7cff6Acf311701F,1.083
0x0496f6B6a376D1aa3E1dB8e6fcb333F3246bCB54,1.078
0x3313136b27185D140388997e78155E8A9f24b757,1.078
0x631422FF12fef7435f3f71D8168e614A0740D821,1.06
0xb8B8b0727515C7Fc6675E561270a6359109B166d,1.06
0x85E9326F6c953554bFC2CcCA306180Cd41c09eC5,1.057
0x60049796b48490babb4B6Ef9820BdDC70cfD80E6,1.049
0xAa212D3dD4ab594e44Fd2F8e6c88e8997cED3a52,1.004
0x1649b26eae366218F774286C38a167c1C69AFeCA,0.996
0x146f2Aaa6e6B36Cdf8FAF037d2C50a00b38Be34d,0.992
0xcB15649D7B7a1eb01fb1ACD14809de6cF82Aa1A0,0.981
0x7F460A59F049FE1235175fF99159EC75a6D6A2b6,0.902
0x689021E7174d3d5E916e84fb1d168E2B0d80B4F8,0.892
0x87B7F62CE23a8687EaF0E2C457AD0C22CA3554BF,0.856
0xaCf98b694572De6Bc88eAEe77B9d8efaDdAc3098,0.855
0x5dF1aFe2b9d573D0D23f4F6322C5927c5D4D3115,0.8520000000000001
0x246dc1Bc5050D8f5CFE4660C39a5d3a1BC880ef9,0.85
0xE76f1230c61160206306CB55e524d5843bAD697a,0.8300000000000001
0x6b7Aa5D572fbCB67252165Def631305E00C49f7b,0.8130000000000001
0x27e32Ef9576dc05F4D08d978106fC16351d4cb0c,0.807
0xCa8443d2F918EF0d696Bb11183402642683ED812,0.7949999999999999
0x9e1C950E743ec4f6AfeC299dcDff1bbC21bb2b3B,0.759
0x3d5e4AF8EF2Fb321f4Cf35475e75172155BdBfdf,0.758
0x4aA76De68b2C73087bba7E31F3936d520347fCCe,0.755
0x511956A81457DDAfAF43ee171B872657e36BFc5a,0.731
0x8f2CA1C48e99D4a23e9595fC734eF9f1AC41aB8f,0.729
